700258 01
002704,3023BA,001026 Accelerated
C467A1,0006F3 Accelight
6C2E33 Accelink
080078 ACCELL
0006BF Accella
34074F AccelStor
001766 Accense
DC1EA3 Accensus
000313,000807,000E20,008032 Access
DC0682 Accessia
001033 ACCESSLAN
0060CE ACCLAIM
001F2A ACCM
0019F6 Acconet
0040E9,0090CA ACCORD
BC3E13 Accordance
000260 Accordion
0023BB Accretech
0014A0 Accsense
0004E3,0010B5,0012CF,0030F1,0827F0,AC81B5,B8616F,0000E8,2C0369,9C4711,BC121F,D08E17,FC3D98 Accton
307A57,ECC38A Accuenergy
9C1FDD Accupix
000F36 Accurate
000E13 Accu-Sort
1C3A4F AccuSpec
000612 Accusys
0018ED Accutech
006095 ACCU-TIME
98E165 Accutome
909F43 Accutron
002424,10C9CA,001B58,A0218B Ace
0005B4 Aceex
0017AD,001847 AceNet
D4C766 Acentic
000124,1806FF,C09879,0000E2,006067,00A060 Acer
4C9D22,7CB542 ACES
00D11C ACETEL
0017B1 ACIST
C40E45 ACK
00E093 ACKFIN
000990 ACKSYS
7453A8 ACL
00192B,001D24 Aclara
6C5779 Aclima
000C60 ACM
000825 Acme
000405,00D073 ACN
001952 ACOGITO
409505 ACOINFO
F00DF5 ACOMA
000371 Acomz
002630 ACOREL
0000A4 ACORN
000875 Acorp
0C1A10 Acoustic
00057F Acqis
0002D5 ACR
68A2AA,006007 Acres
00D06D ACRISON
0014EC,7CC8AB Acro
00D05B ACROLOOP
0001C3 Acromag
2CA157 acromate
04E662 Acroname
0004FF Acronet
0002B6 Acrosser
000447 Acrowave
00175B,001EE4 ACS
0026FC,581243,5CE2F4,689C5E,8CB864,9C65F9,9C65FA AcSiP
68B8D9 Act
0030BA AC&T
98FD74 ACT
000BE9 Actel
000385 Actelis
FC09D8 ACTEON
000711 Acterna
000F7C ACTi
C4F839,001002 Actia
38A95F Actifio
F03D29 Actility
50A054 Actineon
00079F,0009B9,001B03,00249B,705EAA Action
A04025 Actioncable
405ADD,D0C0BF,F44EFD,FC1928 Actions
000FB3,001505,001801,001EA7,001F90,0020E0,00247B,002662,0026B8,007F28,00BC2F,089536,0C6127,105F06,10785B,109FA9,181BEB,207600,408B07,40C02F,4C8B30,5C35FC,7058A4,70F196,70F220,84E892,941C56,9C1E95,A0A3E2,A83944,E86FF2,F07084,F8E4FB,FC2BB2 Actiontec
002015 ACTIS
001A32 ACTIVA
000591,000A2C,0022C1,D05875,D8094E,0030A5,006025 Active
0001DC Activetelco
A45E5A ACTIVIO
000E5F activ-net
001203 ActivNetworks
44EA4B Actlas
8CCDA2 ACTP
001196 Actuality
5CFAFB Acubit
009037 ACUCOMM
006033 ACUITY
00021F Aculab
74ECF1 Acumen
F0FDA0 Acurix
ECB106 Acuro
00C0C3 ACUSON
00D0F9 ACUTE
A0B662 Acutvista
703187 ACX
00091F,8C53F7 A&D
001340,0050D5 AD
002716 Adachi-Syokai
9876B6 Adafruit
001D64,000AEA Adam
C0A8F0 Adamson
186D99 Adanis
000287 Adapcom
0013DE Adapt4
0000D1 ADAPTEC
044F8B Adapteva
10C65E Adapt-IP
000E12,000FB9,001A0A,001D4D,78028F,A44E2D,008027 Adaptive
001261 Adaptix
F0F5AE Adaptrum
00200C ADASTRA
707C18 ADATA
1062C9 Adatis
000710 Adax
A4B2A7 Adaxys
0011C0 Aday
000827,0013C8,0017C2,00193E,001CA2,001D8B,002233,00238E,002553,008C54,00A02F,105AF7,3039F2,38229D,6487D7,74888B,842615,8C59C3,A04FD4,A4526F,A45DA1,D0D412,D4D184,DC0B1A,E874E6,F0842F ADB
00004A,0009E7,001734,004016,0080DF,3C69D1,EC42B4 ADC
0004D2 Adcon
882BD7 ADD
847616 Addat
000F58 Adder
000F6C ADDI-DATA
C00D7E Additech
001296 Addlogix
000F85 ADDO-Japan
001385 Add-On
44D5A5 AddOn
0050C8 Addonics
0002A4 AddPac
404A18 Addrek
004033 ADDTRON
000B68 Addvalue
001A9B ADEC
A0F9B7 Ademco
00026D,0007FC,0010EA Adept
A0341B Adero
00219D Adesys
0018B2 ADEUNIS
24EC51 ADF
1064E2 ADFweb
0010A9 ADHOC
0018E5 Adhoco
0008A2 ADI
00307C ADID
0018A5 ADigit
000EE6 Adimos
000B55 ADInstruments
00145F ADITEC
2818FD,5C3548,F82097 Aditya
EC42F0 ADL
B0C128 Adler
003064 ADLINK
00E092 ADMTEK
4C0A3D ADNACOM
004018 ADOBE
0005EF ADOIR
0024AD,80427C Adolf
F46ABC Adonit
94BE36 ADOPT
000E87 adp
000071 ADRA
0050C5,148A70 ADS
008057 ADSOFT
106FEF Ad-Sol
001892 ads-tec
DCEE14 ADT
000229,00901F Adtec
003075 ADTECH
00017E ADTEK
00014F,001992,002445,00A0C8,205F3D,28D0CB,38F8F6,5422E0,588785,64A0AC,844D4C,AC139C,AC51EE,BC2106,CC6618 Adtran
000630 Adtranz
00270B Adura
C81E8E ADV
70BDD2,000B90,0080EA,00D08B,18BC57,289AF7,84C807,B838EF Adva
305DA6 ADVALY
5C1515 ADVAN
00E095 ADVANC
001289,0012B3,3C83B5,906C4B,00C0A0 Advance
000218,000391,0003D5,000541,000979,000B47,00120D,0012CE,001384,0015B2,001A18,001C5A,001C8F,001FF9,002142,0022F5,0022FE,00232F,0024A7,0026EB,00307A,1466B7,2046F9,2083F8,581D91,686359,70A41C,74272C,90507B,A007B6,B0E97E,B8DAF7,C477AF,E016B1,E8481F,EC5B73,00001A,00088F,001066,00202B,00207D,002090,0040DB,005074,0060F4,0080B0,009026,009077,00A07A,00C00D,00C051,00C0FB,080003,3497FB Advanced
E85659 Advanced-Connectek
001071 ADVANET
082522 ADVANSEE
00190F Advansus
00E03C AdvanSys
0017DE,00D0E9,541FD5,E438F2,F06130 Advantage
000BAB,000E02,C400AD,C4B16B,CC827F,001453,00D0C9,74FE48 Advantech
701AED ADVAS
000696 Advent
001EED Adventiq
78A183 Advidia
7CBD06 AE
F89173 AEDLE
0026E5 AEG
001657 Aegate
0020BF AEHR
000B25 Aeluros
00147D,004019 Aeon
B802A4 Aeonsemi
04E2F8 AEP
000E30 AERAS
001C22 Aeris
005067 AEROCOMM
000930 AeroConcierge
2C1EEA AERODEV
6C4A74 AERODISK
005031 AEROFLEX
001855 Aeromaritime
000BD1 Aeronix
002123 Aerosat
000CCC Aeroscout
F41399 Aerospace
001189 Aerotech
000F91 Aerotelecom
001AF9 AeroVIronment
00A062,080080,2087AC,3CC12C AES
0011BF AESYS
000384,001597 AETA
002530 Aetas
688DB6 AETEK
9CFCD1 Aetheris
18DFC1 Aetheros
00D0D6 AETHRA
94DC4E AEV
00143D Aevoe
000D48 AEWIN
000D94 AFAR
000D7D Afco
00405F,EC570D AFE
906F18 Afero
581CBD Affinegy
001B04 Affinity
78223D Affirmed
001566 A-First
001A40 A-FOUR
002260 AFREEY
0023FD AFT
0017B3 Aftek
407496 aFUN
0024A9,6499A0 Ag
C8D1D1 AGAiT
001A47 Agami
001D0E Agapha
0012E3 Agat
B4BA02 Agatel
00017C AG-E
00022D,00053D Agere
000BCF,080066 AGFA
000940 AGFEO
000557,000B0C,0025B8,0020B6 Agile
6843D7 Agilecom
8091C0 AgileMesh
000443,0030D3 Agilent
00805C AGILIS
00C029 Aginode
9CF86B AgiTech
74943D AgJunction
0C8A87 AgLogica
0C5203 AGM
98A878 Agnigate
74C64A AGOS
0011BE AGP
0090B3 AGRANAT
D881CE AHN
001BE2 AhnLab
6C97AA AI
001137 AICHI
CCD811 Aiconn
5C15E1 AIDC
18314F AIDIN
44962B Aidon
0006DF AIDONIC
CCA614 AIFA
50695A AiFamous
807933 Aigentec
000978 AIJI
000CAE Ailocom
0014E6,00D020,087999 AIM
FC1499 Aimore
000F25 AimValley
000D2F AIN
501408 AiNET
6C22AB Ainsworth
0025AB AIO
001DC4 AIOI
001A36 Aipermon
000BAA Aiphone
044AC6 Aipon
000A9A Aiptek
0002A8,00075A Air
001E77 Air2App
000B0D Air2U
001F35 AIR802
0014ED Airak
0011F8 AIRAYA
A0EB76 AirCUVE
00165D AirDefense
0026FB AirDio
0CCC26 Airenetworks
001948 AireSpider
0050DF AirFiber
000BC8 AirFlow
001C04 Airgain
000AF5 Airgo
58F387 Airios
C4CB6B Airista
00143E,0023D3 AirLink
000B24,001F76 AirLogic
000DC8 AirMagnet
14EE9D AirNav
C42628 Airo
00051D Airocon
0CFC83 Airoha
942957 Airpo
4C60D5 airPointe
587BE9 AirPro
00068B AirRunner
60CBFB AirScape
3C7873 Airsonics
E81367 AIRSOUND
0001AA,00A00A Airspan
000165 AirSwitch
384B76 AIRTAME
8CB094,00224B Airtech
001CA8,182861,8841FC,A02D13,F417B8 AirTies
0005B9 Airvana
000AE9 AirVast
A4F9E4 AirVine
001BB4 Airvod
E4C62B Airware
000DDB AIRWAVE
003969 Air-Weigh
1C14B3 Airwire
E0C286 Aisai
001E43 AISIN
409558,40987B Aisino
B025AA AIstone
006036 AIT
00807A AITECH
0CB088 AITelecom
30B5F1 Aitexin
04B97D AiVIS
ACA613 Aivres
A8016D,005071 Aiwa
001295 Aiware
C09573 AIxLink
001547 AiZen
A8995C aizo
000C17 AJA
9C756E Ajax
00B0EE Ajile
001A3D Ajin
000FCA A-JIN
002393 AJINEXTEK
002683 Ajoho
0020C7 AKAI
001CA1,002218 Akamai
003076 Akamba
0003E9 Akara
000CF4 AKATSUKI
000BDC AKCP
101A92 AKEBONO
387B47 AKELA
D42F23 Akenori
A895B0 Aker
B4827B AKG
E80B13 Akib
0013F5 Akimbi
000B8F AKITA
08BBCC AK-NORD
00092F Akom
001488 Akorri
000ED9,002201 Aksys
00E175 AK-Systems
0C1105 AKUVOX
DCDECA Akyllor
0005C1 A-Kyung
001042 Alacritech
002242 Alacron
0020E1 ALAMAR
00D0A4 ALANTRO
00B094,00D075 Alaris
001CFA,504074,B83A9D Alarm
0012E2,D4354A ALAXALA
50A0BF Alba
3C106F ALBAHITH
000A48 Albatron
00DB1E Albedo
001F4A Albentia
0080C9 ALBERTA
001AD0 Albis
0022D1 Albrecht
001D21 Alcad
00089A,000E86,000F62,00113F,00153F,008021,0CB5DE,18422F,4CA74B,54055F,68597F,84A783,885C47,9067F3,94AE61,D4224E,002032,002060,008039,00A081,00C0BE Alcatel
000772,00118B,00164D,0017CC,001AF0,001C8E,001D4C,0020DA,002105,00233E,0025BA,00D095,00E0B1,00E0DA,040A83,0CA402,184A6F,1880F5,24AF4A,2CFAA2,3C8BCD,4C5FD2,54A619,54E3F6,6854ED,6CBEE9,782459,7C2064,883C93,901C9E,9067B5,9424E1,A09D86,A0F3E4,A8AD3D,AC9CE4,C8F86D,D099D5,DC0856,E03005,E4A1E6,E8E732,F4C613,F83094,002135,0021AE Alcatel-Lucent
34FC6F ALCEA
0024DB Alcohol
001E57 ALCOMA
449CB5 Alcomp
0009F4,002328 Alcon
001046 ALCORN
00809F,3C28A6,487A55 ALE
00271B Alec
001CCD Alektrona
001ED6 Alentec
001D8E Alereon
2CE871 Alert
00602D ALERTON
001D97 Alertus
000595 Alesis
00064B Alexon
70533F,008094,00C0CA Alfa
00E03E ALFATECH
30ECA3 Alfatron
00233C Alflex
001A51,A409CB Alfred
2C3F3E Alge-Timing
0022EE Algo
001DD7 Algolith
002390 Algolware
90272B Algorab
0040BC ALGORITHMICS
0023EC Algorithmix
002021 ALGORITHMS
0013A0 ALGOSYSTEM
0090E6 ALi
188219,D896E0,FCA64C Alibaba
00D044 ALIDIAN
001B5F,2C1CF6 Alien
785994 Alif
0474A1 Aligera
000B7F Align
345A18 Alignment
2442BC Alinco
001A9F A-Link
900CB4 Alinket
E0D1E6 Aliph
00213C AliphCom
0008DF Alistel
00016A ALITEC
0014C5 Alive
747DB6 Aliwei
00119A Alkeria
0022D2,888914,382A8C,503A0F,642B8A,6CB077,807484 All
B89674 AllDSP
0003F6 Allegro
009002 ALLGON
0012E1,0040BA Alliant
0000CD,0000F4,000171,0003AE,000941,000A47,000C25,000C46,000F31,001130,001577,001AEB,00C28F,E01AEA,ECCD6D,000DDA,002058,003084,009099,00A0D2 Allied
889D98 Allied-telesisK
5CB8CB Allis
000FC9 Allnet
0003D4 Alloptic
000938 Allot
00008C Alloy
000789,1CEC72 Allradio
0018EA Alltec
0080AF ALLUMER
003000 ALLWELL
000246 All-Win
189E2D,2C572C,60C22A,A017F1,A8F1B2,DC446D Allwinner
000ADD Allworx
000A5F almedio
0018C1 Almitec
009081 ALOHA
3C9174,68F06D ALONG
001EB8 Aloys
0000B1,0001CF,000256,0006D3,000FA3,001802,001D6A,002697,0C83CC,447E95,488C78,542AA2,5C338E,886AE3,C01242,D0AEEC,000C7B,009035,0090EA Alpha
C4678B Alphabet
000E54 AlphaCell
503A7D AlphaTech
C83DFC AlphaTheta
0050EB ALPHA-TOP
648125 Alphatron
94319B Alphatronics
2CEDEB Alpheus
001FE6,906717 Alphion
D4DF57 Alpinion
000A08,146102,B89C13,C44F96,DCB7FC,00A079 Alps
0002C7,0006F5,0006F7,000704,0016FE,0019C1,001BFB,001E3D,00214F,002306,002433,002643,04766E,0498F3,28A183,30C3D9,30DF17,34C731,38C096,44EB2E,48F07B,5816D7,60380E,6405E4,64D4BD,7495EC,847051,9409C9,9C8D7C,AC7A4D,B4EC02,BC428C,BC7536,C0408D,C4B757,E02DF0,E0750A,E0AE5E,ECD909,FC62B9,FC9816 ALPSALPINE
0013AA ALS
001AD8 AlsterAero
00169B,30EFD1,0462D7 Alstom
9C1ECE,9C4E8E ALT
001BB7,0025A2,00268E,949C55,BCB923,001032,00C093 Alta
0019BE Altai
087D21 Altasec
0018FC,304174 Altec
000C40,002055 Altech
001611 Altecon
0025C7 altek
80971B Altenergy
0060CF ALTEON
0007ED Altera
0014E5 Alticast
1C573E,5067E0,58FC20,68AAC4,C87023 Altice
28C718 Altierre
0090A4 ALTIGA
000AAA AltiGen
2098ED,2CCC7A,2CD8DE,30BE29,3854F5,387707,38BEAB,44291E,4472AC,48A4FD,48D01C,4C2F7B,4C37DE,4C60BA,50EE9B,5414E9,58C587,5C4EEE,6056EE,60DC81,647084,6848B4,6C221A,7CAADE,80E869,847AB6,88287D,8C5C53,90314B,94FF7D,98A829,9C1C37,A4EF15,B4FBE3,BCADAE,C02EDF,C08A60,D83A36,D83EEB,DC2919,E022A1,E82D79,E8F494,F41C26,F4B19C,F4E25D AltoBeam
E496AE ALTOGRAPHICS
0000C8,0020F1,003081 ALTOS
BCFE8C Altronic
C0188C Altus
00301C ALTVATER
542160 Alula
001306,648B9B Always
000308,40C8CB,60567D AM
0060D5 AMADA
08007E AMALGAMATED
000484 Amann
005088 AMANO
00D07A AMAQUEST
0060C7 AMATI
88A3CC Amatis
00267D A-Max
00E008 AMAZING
344CA4 amazipoint
007147,008621,00BB3A,00F361,00FC8B,0812A5,0857FB,086AE5,087C39,08849D,089115,0891A3,08A6BC,08C224,0C43F9,0C47C9,0CDC91,0CEE99,1009F9,109693,10AE60,10BF67,10CE02,140AC5,149138,180B1B,1848BE,18742E,1C12B0,1C4D66,1C93C4,1CFE2B,2010B1,20A171,20BEB8,20FE00,244CE3,24CE33,2824C9,2873F6,28EF01,2C71FF,304D1F,3425BE,34AFB3,34D270,38F73D,3C5CC4,3CE441,4089C6,40A2DB,40A9CF,40B4CD,40F6BC,440049,443D54,444201,44650D,446D7F,44B4B2,44D5CC,4843DD,485F2D,48785E,48B423,4C1744,4C53FD,4C60AD,4CEFC0,5007C3,50995A,50D45C,50DCE7,50F5DA,542B1C,580987,589A3E,58A8E8,58E488,5C415A,5C8B6B,64CDC2,6813F3,6837E9,6854FD,689A87,689FD4,68B691,68DBF5,68F63B,6C0C9A,6C55B1,6C5697,6C999D,7070AA,7458F3,747548,74A7EA,74C246,74D423,74D637,74E20C,74ECB2,786C84,78A03F,78E103,7C6166,7C6305,7CD566,7CEDC6,800CF9,806D71,842859,844880,84D6D0,8829BF,8871E5,8C1952,8C2A85,8C4EBB,901195,90235B,90395F,90A822,90F82E,943A91,945AFC,98226E,98CCF3,9CC8E9,A002DC,A0D0DC,A0D2B1,A402B7,A40801,A8CA77,A8E621,AC416A,AC63BE,ACCCFC,B0739C,B08BA8,B0CFCB,B0F7C4,B0FC0D,B4107A,B47C9C,B4B742,B4E454,B85F98,C08D51,C091B9,C095CF,C49500,C86C3D,CC2293,CC9EA2,CCAFE3,CCF735,D4910F,D8BE65,D8FBD6,DC54D7,DC91BF,DCA0D0,E0CB1D,E0F728,E84C4A,E8D87E,EC0DE4,EC2BEB,EC315F,EC8AC4,ECA138,F0272D,F02F9E,F04F7C,F08173,F0A225,F0D2F1,F0F0A4,F4032A,F854B8,F8FCE1,FC492D,FC65DE,FCA183,FCA667,FCD749,FCE9D8 Amazon
0004B7 AMB
088F2C,00309F,00A086 Amber
00107A AmbiCom
28EBB7 ambie
0015B1 Ambient
941F3A Ambiq
00028A,000E9B,00D059 Ambit
0006FE Ambrado
000AFB Ambri
000173 AMCC
00651E,9C8ECD,A06032 Amcrest
000C87 AMD
008083 AMDAHL
0002F0 AME
001D67 AMEC
001312 Amedia
000241 Amer
88D652 AMERGINT
00038A America
0006CA,000AF8,000B87,00116D,001375,001487,0016E2,002272,CCE7DF,001088,0040D9,00A043,00C0B7,00D03F,00D0A5 American
0022E3 Amerigon
00009F AMERISTAR
00A04F AMERITEC
000D1C Amesys
00075E,000F88 Ametek
545146 AMG
A0B8F8 Amgen
0010F5 AMHERST
187A93,C4FEE2 AMICCOM
884558 Amicro
A0E25A Amicus
00D041 AMIGO
0CD696 Amimon
000202,5C0FFB Amino
000954,005018 AMiT
6C72E2 amitek
000D59 Amity
002026 AMKLY
1CA410 Amlogic
000DB2 Ammasso
E81B4B amnimo
0013F1 AMOD
001240 AMOI
1C4AF7 AMON
A46177,D056BF AMOSENSE
0022F4,002DB3,04E676,08E9F6,08FBEA,102C6B,10D07A,18937F,20406A,2050E7,282D06,28EDE0,40D95A,40FDF3,442C05,50411C,5478C9,5496CB,6C21A2,6CFAA7,704A0E,70F754,8CCDFE,8CF710,94A1A2,983B16,9CB8B4,AC83F3,B00247,B0F1EC,B0F5C8,B81332,B82D28,C0847D,C0F535,CC4B73,CCB8A8,D41243,D49CDD,E076D0,F023AE AMPAK
F87B8C Amped
0030E5,8C0CA3 Amper
00007C,F8C249 AMPERE
000A22 Amperion
00004E AMPEX
000A0D,78A714 Amphenol
142DF5 Amphitech
0004F6 Amphus
000E79,E85BB7 Ample
001877 Amplex
1CBD0E Amplified
00027B Amplify
004053 AMPRO
0075E1 Ampt
B48547 Amptown
001C3B AmRoad
7C6C8F AMS
0808EA AMSC
F44848 Amscreen
00603B AMTEC
000C6F Amtek
000E78 Amtelco
A446FA AmTRAN
0017FD Amulet
001875 AnaCise
0CEF7C AnaCom
9889ED Anadem
00146B Anagran
141330 Anakreon
0005F7,006088,00E022,78C6BB,90940A,002030,64F9C0,6C0831 Analog
001AAA Analogic
0022B9 Analogix
001D11,A8ED71 Analogue
B88F14 Analytica
000FED Anam
0C756C Anaren
0022DA ANATEK
000C24 ANATOR
0018E0 ANAVEO
CCB888 AnB
00503F ANCHOR
0060C5 ANCOT
0C6111,0050ED,BC73A4 Anda
002396 ANDES
000530 Andiamo
0001E2 Ando
004D32 Andon
001E88 ANDOR
004011 ANDOVER
044562 ANDRA
D810CB Andrea
FC698C ANDREAS
000DEE,001235 Andrew
002183 ANDRITZ
3826CD ANDTEK
38EE9D Anedo
00E082 ANERMA
0009E3,001A03,C4B691 Angel
582745 Angelbird
00A051 ANGIA
8C0F83 Angie
686975 Angler
68EBC5 Angstrem
001C68,64F6F7,6CB350,941724,A0885E,C4955F,D8803C,E4CE58,EC9E68,8432EA Anhui
004005 ANI
000C45 Animation
E01E07,000183 Anite
0000FE Annapolis
189677,28875F,308B23,506245,F8F295 Annapurna
743889 ANNAX
0018A8 AnNeal
000A02 ANNSO
DC155C Anntec
D41296 Anobit
0007CF Anoto
307CB2,A43E51,B8266C ANOV
F86465 Anova
405A9B ANOVO
0002B1,000091 Anritsu
0018BE ANSA
0025F7 Ansaldo
004090 ANSEL
001AB8 Anseri
0CAAEE Ansjer
0023DE Ansync
108B6A,F0A968 Antailiye
7CCB0D Antaira
000455 ANTARA
F4525B Antare
0010F2 ANTEC
6C4598 Antex
000B3F Anthology
00162A Antik
00192A Antiope
002385 ANTIPODE
008004 ANTLOW
000DD9 Anton
E8F0A4 Antonios
C45BF7 ants
44D2CA Anvia
0022CA Anviz
0007B5,002416,2041BC Any
0019C8 AnyDATA
9440A2 Anywave
342F6E Anywire
14CCB3,1CCA41,4829E4,6429ED,D8AF81,DCE305 AO
78B6C1 AOBO
002467 AOC
606453 AOD
000BE8 AOIP
000382 A-One
001585 Aonvision
000180 AOpen
000CDD AOS
00218D AP
000F99 APAC
DC663A Apacer
002610 Apacewave
000C88 Apache
000A38 Apani
0022E4 APASS
D8DA52 APATOR
282986 APC
D08999 APCON
001771 APD
746A3A Aperi
C8664B Aperion
000299,0005DA,0012C2,90185E,0020E5,00804E Apex
48A964 APEXSHA
00A007 APEXX
000CEA aphona
0020A5,003058 API
ECDB86 API-K
74E424 APISTE
002101 Aplicaciones
C87248 Aplicom
009003 APLIO
001C4D Aplix
000D3E APLUX
0003DB,000951,00227B Apogee
001B5A,001B9A,14444A,74EE8D,0060EE,08001E Apollo
0013B4 Appear
4882F2 Appel
00304C APPIAN
